filename,ab,addrLine,address,body,byline,cell,choice,closer,dateline,div1,div2,div3,figDesc,figure,floatingText,fw,graphic,head,hi,item,l,lb,lg,list,milestone,note,opener,orig,p,pb,persName,quote,ref,reg,row,salute,seg,sic,signed,table,unclear
books:wfc.bks00008.xml,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0
books:wfc.bks00007.xml,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,1,0,0
books:wfc.bks00011.xml,0,3,2,17,0,0,10,3,1,1,43,0,0,20,17,0,20,51,30,0,205,4,29,0,5,0,4,10,161,74,2,0,0,10,0,3,0,0,3,0,0
books:wfc.bks00016.xml,1,0,0,0,0,24,0,0,0,30,0,0,0,1,0,0,0,61,27,0,3,0,0,0,0,0,0,0,1780,380,7,0,0,0,8,0,0,2,0,1,0
books:wfc.bks00012.xml,66,0,0,0,2,0,0,1,1,1,4,2,0,16,0,0,0,7,9,14,0,3,0,1,3,0,0,0,42,19,0,1,10,0,0,0,24,0,1,0,0
books:wfc.bks00010.xml,31,2,1,19,5,0,9,24,26,1,31,31,0,72,19,0,0,86,120,0,359,40,57,0,0,1,22,9,756,0,19,1,0,9,0,22,0,0,26,0,0
books:wfc.bks00018.xml,18,0,0,0,0,0,0,2,2,30,6,0,0,8,0,0,0,69,36,0,232,8,36,0,0,0,2,0,655,0,12,4,0,0,0,0,0,0,2,0,0
books:wfc.bks00017.xml,270,0,0,0,0,0,0,0,0,27,0,0,0,62,0,0,0,57,147,0,2,8,0,0,0,1,0,0,1482,504,6,1,76,0,0,0,0,0,0,0,1
books:wfc.bks00014.xml,21,0,0,0,0,0,0,0,0,32,0,0,0,19,0,0,0,65,37,0,100,3,14,0,0,0,0,0,1397,284,11,4,0,0,0,0,0,8,0,0,0
books:wfc.bks00003.xml,0,0,0,0,0,0,12,0,0,2,9,0,0,3,0,328,0,22,6,0,0,0,0,0,0,0,0,12,324,176,8,0,0,12,0,0,0,0,0,0,0
books:wfc.bks00009.xml,0,0,0,0,0,66,4,1,1,20,0,0,2,35,0,0,0,30,51,0,7,0,3,0,0,3,0,4,333,96,1,0,1,4,33,1,0,0,1,2,0
books:wfc.bks00002.xml,0,0,0,4,0,0,35,1,5,33,0,0,0,53,4,259,0,72,14,0,0,0,0,0,0,0,3,35,451,272,14,0,0,35,0,1,0,0,1,0,0
books:wfc.bks00013.xml,75,0,0,0,0,0,0,0,0,22,0,0,0,45,0,0,0,44,5,0,1,11,0,0,0,0,0,0,977,241,10,0,0,0,0,0,0,0,0,0,0
books:wfc.bks00004.xml,0,0,0,0,0,0,38,0,0,20,0,0,0,61,0,1,1,41,32,0,4,0,2,0,0,0,0,38,1818,531,14,0,74,38,0,0,0,0,0,0,0
books:wfc.bks00006.xml,101,0,0,0,0,0,0,0,0,25,213,0,0,101,0,0,0,240,42,0,60,0,11,0,0,0,0,0,1188,352,17,0,5,0,0,0,0,0,1,0,0
books:wfc.bks00015.xml,14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,16,27,0,24,1,5,0,0,0,0,0,1485,326,4,6,0,0,0,0,0,3,0,0,0
