filename,ab,abbr,add,addrLine,address,cell,choice,closer,corr,date,dateline,del,div1,div2,expan,figDesc,figure,fw,gap,head,hi,item,lb,list,note,opener,orgName,orig,p,pb,persName,postscript,ref,reg,row,rs,salute,sic,signed,stamp,table,unclear
correspondence:wfc.css00436.xml,0,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,4,0,0,0,0,0,16,0,1,1,0,0,9,1,1,1,4,0,0,0,2,1,2,0,0,0
correspondence:wfc.css00060.xml,0,0,0,1,1,0,3,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,3,0,0,0,2,3,1,0,0,0
correspondence:wfc.css00064.xml,0,0,0,1,1,0,6,1,6,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,2,0,0,0,0,0,0,2,6,1,0,0,0
correspondence:wfc.css00020.xml,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,21,0,4,1,0,0,8,4,1,0,5,0,0,0,3,0,1,0,0,0
correspondence:wfc.css00561.xml,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,9,0,1,0,0,0,1,1,3,0,3,0,0,0,0,0,1,0,0,0
correspondence:wfc.css00438.xml,0,0,1,0,0,0,2,1,2,0,1,1,1,0,0,0,1,0,0,0,3,0,4,0,1,1,0,0,2,1,1,0,6,0,0,0,2,2,1,0,0,0
correspondence:wfc.css00052.xml,0,1,0,0,0,0,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0,0,0,2,1,1,0,0,0
correspondence:wfc.css00045.xml,0,0,0,1,1,0,4,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,0,3,0,0,0,2,4,1,0,0,0
correspondence:wfc.css00046.xml,0,0,1,1,1,0,7,1,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,2,6,1,0,0,1
correspondence:wfc.css00063.xml,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,1
correspondence:wfc.css00439.xml,0,0,0,0,0,0,3,1,3,0,1,0,1,0,0,0,1,0,0,0,2,0,4,0,1,1,0,0,2,1,4,0,3,0,0,0,2,3,1,0,0,0
correspondence:wfc.css00672.xml,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,2,0,1,0,0,0
