filename,abbr,add,addrLine,address,argument,author,back,bibl,body,byline,cell,choice,cit,closer,corr,date,dateline,del,div,emph,epigraph,figure,floatingText,foreign,gap,head,hi,item,l,label,lb,lg,list,mentioned,milestone,name,note,opener,p,pb,q,ref,row,salute,seg,sic,signed,sp,speaker,stage,table,term,title,trailer,unclear
VAC6437.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5615.xml,0,0,4,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,3,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,40,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
VAC7001.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC8231.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7729.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5809.xml,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,3,0,81,81,3,0,6,1,0,128,2,0,2168,0,0,356,0,0,18,0,0,4,178,78,13,0,0,6,0,0,4,0,0,0,0,0,0,0,2
VAC5557.xml,1,0,6,3,0,0,0,0,3,0,0,0,0,4,0,0,1,0,23,19,0,0,3,3,0,40,21,0,38,0,0,11,0,0,0,0,2,4,1133,152,10,4,0,2,0,0,4,0,0,0,0,0,1,0,0
VAC6588.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC7701.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC6645.xml,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,27,17,0,0,1,43,0,26,1,0,4,0,8,2,0,0,0,0,0,0,649,130,4,0,0,1,0,1,1,0,0,0,0,0,0,0,1
VAC7160.xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAC5804.xml,0,0,0,0,0,0,0,0,3,0,0,5,0,5,5,0,0,0,25,62,0,0,3,18,0,42,5,0,0,0,0,0,0,0,1,0,0,0,1681,47,3,0,0,1,0,5,4,0,0,0,0,0,0,0,11
VAC7947.xml,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24,283,0,0,0,2,0,48,1,0,103,0,0,29,0,0,5,0,1,0,1870,161,28,2,0,0,0,1,0,0,0,0,0,0,2,0,1
